ı
----------------------------------------
AA70327.log
detection date	time	duration	tag type	tag id	read count	empty record count	antenna num
04/11/17	07:29:33.60	00:00:00.00	R	0000_0000000174764517	A3	1	65534
04/12/17	09:35:35.25	00:00:00.00	A	982_000362724125	A4	1	65534
04/13/17	20:52:16.39	00:00:00.00	R	0000_0000000174764517	A3	1	65534
04/14/17	00:02:23.19	00:00:00.00	R	0000_0000000174764517	A3	1	56502
04/14/17	01:21:08.99	00:00:00.00	R	0000_0000000174764517	A3	1	23408
04/14/17	03:38:36.51	00:00:00.00	R	0000_0000000174764517	A3	1	40851
04/14/17	06:50:24.20	00:00:00.00	R	0000_0000000174764517	A3	1	57006
04/14/17	14:33:32.25	00:00:00.00	R	0000_0000000174764517	A3	1	65534
04/14/17	15:48:50.07	00:00:00.00	R	0000_0000000174764517	A3	1	22381
04/14/17	18:09:30.11	00:00:00.00	R	0000_0000000174764517	A3	1	41801
04/14/17	18:35:45.38	00:00:00.00	R	0000_0000000174764517	A3	1	7801
04/14/17	18:37:34.01	00:00:00.00	R	0000_0000000174764517	A3	1	537
04/14/17	19:45:14.18	00:00:00.00	R	0000_0000000174764517	A3	1	20109
04/14/17	20:16:16.19	00:00:00.00	R	0000_0000000174764517	A3	1	9223
04/14/17	21:40:55.65	00:00:00.00	R	0000_0000000174764517	A3	1	25163
04/21/17	06:14:50.49	00:00:00.00	R	0000_0000000174764517	A3	1	65534
04/21/17	08:44:31.58	00:00:00.00	R	0000_0000000174764517	A3	1	44508
04/21/17	09:27:12.68	00:00:00.00	R	0000_0000000174764517	A3	1	12692
04/21/17	20:38:06.89	00:00:00.00	R	0000_0000000174764517	A3	1	65534
04/21/17	22:05:16.17	00:00:00.00	R	0000_0000000174764517	A3	1	25908
04/22/17	00:49:01.53	00:00:00.00	R	0000_0000000174764517	A3	1	48688
04/22/17	01:25:34.55	00:00:00.00	R	0000_0000000174764517	A3	1	10865
04/22/17	05:17:40.24	00:00:00.00	R	0000_0000000174764517	A3	1	65534
04/22/17	13:36:03.56	00:00:00.00	R	0000_0000000174764517	A3	1	65534
04/22/17	18:03:22.96	00:00:00.00	R	0000_0000000174764517	A3	1	65534
04/22/17	18:35:05.63	00:00:00.00	R	0000_0000000174764517	A3	1	9424
04/23/17	00:36:09.19	00:00:00.00	R	0000_0000000174764517	A3	1	65534
04/23/17	21:36:07.65	00:00:00.00	R	0000_0000000174764517	A3	1	65534
04/24/17	17:10:29.00	00:00:00.00	R	0000_0000000174764517	A3	1	65534
04/25/17	05:32:26.29	00:00:00.00	R	0000_0000000174764517	A3	1	65534
04/25/17	12:45:08.87	00:00:00.00	R	0000_0000000174764517	A3	1	65534
04/25/17	15:14:42.75	00:00:00.00	R	0000_0000000174764517	A3	1	44453
04/25/17	16:56:25.62	00:00:00.00	R	0000_0000000174764517	A3	1	30230
04/25/17	19:05:47.68	00:00:00.00	R	0000_0000000174764517	A3	1	38450
04/25/17	19:21:52.91	00:00:00.00	R	0000_0000000174764517	A3	1	4781
04/25/17	23:14:27.43	00:00:00.00	R	0000_0000000174764517	A3	1	65534
04/25/17	23:29:39.64	00:00:00.00	R	0000_0000000174764517	A3	1	4519
04/26/17	01:38:46.26	00:00:00.00	R	0000_0000000174764517	A3	1	38383
04/26/17	04:43:07.63	00:00:00.00	R	0000_0000000174764517	A3	1	54804
04/26/17	05:36:18.84	00:00:00.00	R	0000_0000000174764517	A3	1	15815
04/26/17	05:51:33.12	00:00:00.00	R	0000_0000000174764517	A3	1	4528
04/26/17	06:26:18.54	00:00:00.00	R	0000_0000000174764517	A3	1	10331
04/26/17	07:36:24.41	00:00:00.00	R	0000_0000000174764517	A3	1	20837
04/26/17	08:38:52.62	00:00:00.00	R	0000_0000000174764517	A3	1	18569
04/26/17	10:22:45.22	00:00:00.00	R	0000_0000000174764517	A3	1	30875
04/26/17	15:16:30.70	00:00:00.00	R	0000_0000000174764517	A3	1	65534
04/26/17	16:51:41.81	00:00:00.00	R	0000_0000000174764517	A3	1	28285
04/26/17	18:00:22.22	00:00:00.00	R	0000_0000000174764517	A3	1	20409
